"USERNAME","ELEMENT_NAME","BUILD_TYPE","OBJECT_NAME_REGEXP","NOTES"
"ODBCAPTURE","PACKAGE_BODY","ss_grb","^GRAB_SS_TYPES$","GRAB_SS_TYPES Package Body"
"ODBCAPTURE","PACKAGE_SPEC","ss_grb","^GRAB_SS_TYPES$","GRAB_SS_TYPES Package Specification"
